model,status,accuracy_at_0_50,precision_at_0_50,recall_at_0_50,f1_at_0_50,roc_auc,avg_precision_pr_auc,brier_score,precision_at_500,recall_at_500,lift_at_500,readmissions_captured_at_500,expected_net_value_at_capacity
Tabular Gradient Boosting (tuned + calibrated),complete,0.8865119101805492,0.5,0.00267379679144385,0.005319148936170213,0.6771291861747006,0.240886891900643,0.09530379099049223,0.408,0.09090909090909091,3.5950909090909087,204,113691.41924626741
Fine-tuned prompt classifier,complete,0.8865119101805492,0.0,0.0,0.0,0.5550849958952666,0.1469490470516557,0.10001622279064619,0.23,0.05124777183600713,2.026644385026738,115,-14272.55429887335
